OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;osm_id;fclass;population
71;Novodruzhesk;Новодружеськ;UA4411870400;Novodruzhesk;Novodruzheska;Новодружеська;Lysychanska;Лисичанська;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;4411870400;38,344882069999997;48,963164519999999;337579120;town;7870
72;Miusynsk;Міусинськ;UA4411670600;Miusynsk;Miusynska;Міусинська;Krasnolutska;Краснолуцька;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;4411670600;38,899192220000003;48,076071190000000;337660001;town;4999
73;Zastavna;Заставна;UA7321510100;Zastavna;Zastavnivska;Заставнівська;Zastavnivskyi;Заставнівський;Chernivetska;Чернівецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;7321510100;25,843952760000001;48,522875010000000;285723984;town;12159
74;Novoselytsia;Новоселиця;UA7323010100;Novoselytsia;Novoselytska;Новоселицька;Novoselytskyi;Новоселицький;Chernivetska;Чернівецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;7323010100;26,266482119999999;48,223387250000002;285726356;town;7892
75;Khrustalnyi;Хрустальний;UA4411600000;Khrustalnyi;Krasnolutska;Краснолуцька;Krasnolutska;Краснолуцька;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;4411600000;38,926247109999998;48,137620339999998;337658682;town;84036
76;Rovenky;Ровеньки;UA4412300000;Rovenky;Rovenkivska;Ровеньківська;Rovenkivska;Ровеньківська;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;4412300000;39,385818149999999;48,084473140000000;2135849341;town;81103
77;Kypuche;Кипуче;UA4423610300;Kypuche;Artemivska;Артемівська;Perevalskyi;Перевальський;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;4423610300;38,718502729999997;48,439198460000000;337598439;town;7616
78;Kamianka;Кам'янка;UA7121810100;Kamianka;Kamianska;Кам'янська;Kamianskyi;Кам'янський;Cherkaska;Черкаська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;7121810100;32,101069959999997;49,035326959999999;337574832;town;12956
79;Shchastia;Щастя;UA4423110100;Shchastia;Shchastynska;Щастинська;Novoaidarskyi;Новоайдарський;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;4423110100;39,229254720000000;48,740141520000002;3409309160;town;13105
80;Pidhorodne;Підгородне;UA1221411000;Pidhorodne;Pidhorodnenska;Підгородненська;Dniprovskyi;Дніпровський;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1221411000;35,079106510000003;48,575776529999999;337593586;town;17778
