OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin2Name_ru;admin2Pcode;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;FID;osm_id;fclass;population
222;Chervonohryhorivka;Червоногригорівка;UA1222955700;Chervonohryhorivka;Chervonohryhorivska;Червоногригорівська;Nikopolskyi;Нікопольський;Никопольский;UA12229;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1222955700;34,527282350000000;47,627564939999999;25793;337673450;village;6710
223;Cherkaske;Черкаське;UA1223256200;Cherkaske;Cherkaska;Черкаська;Novomoskovskyi;Новомосковський;Новомосковский;UA12232;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1223256200;35,383955020000002;48,701568649999999;1203;256618158;village;3528
224;Shyroke;Широке;UA1225855100;Shyroke;Shyrokivska;Широківська;Shyrokivskyi;Широківський;Широковский;UA12258;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1225855100;33,264068729999998;47,687147009999997;307;256614049;village;829
225;Lykhivka;Лихівка;UA1224555600;Lykhivka;Lykhivska;Лихівська;Piatykhatskyi;П'ятихатський;Пятихатский;UA12245;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1224555600;33,920073850000001;48,680920729999997;20773;337589380;village;2508
226;Mahdalynivka;Магдалинівка;UA1222355100;Mahdalynivka;Mahdalynivska;Магдалинівська;Mahdalynivskyi;Магдалинівський;Магдалиновский;UA12223;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1222355100;34,920953429999997;48,921399749999999;19235;337580163;village;6493
227;Mezhova;Межова;UA1222655100;Mezhova;Mezhivska;Межівська;Mezhivskyi;Межівський;Межевский;UA12226;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1222655100;36,730221479999997;48,255064609999998;23301;337605536;village;8049
228;Rozdory;Роздори;UA1224855600;Rozdory;Rozdorska;Роздорська;Synelnykivskyi;Синельниківський;Синельниковский;UA12248;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1224855600;35,703800360000002;48,329505089999998;18495;337575503;village;138
229;Mykolaivka;Миколаївка;UA1223757100;Mykolaivka;Mykolaivska;Миколаївська;Petrykivskyi;Петриківський;Петриковский;UA12237;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1223757100;34,700359779999999;48,545543989999999;276;256613985;village;15847
230;Mykolaivka;Миколаївка;UA1225855300;Mykolaivka;Mykolaivska;Миколаївська;Shyrokivskyi;Широківський;Широковский;UA12258;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1225855300;33,212697460000001;47,635771679999998;276;256613985;village;15847
231;Drobysheve;Дробишеве;UA1423055400;Drobysheve;Lymanska;Лиманська;Lymanska;Лиманська;Лиманский;UA14133;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1423055400;37,742257379999998;49,043637310000001;976;256616379;village;3047
232;Chernivtsi;Чернівці;UA0524955100;Chernivtsi;Chernivetska;Чернівецька;Chernivetskyi;Чернівецький;Черневецкий;UA05249;Vinnytska;Вінницька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);0524955100;28,112985309999999;48,547729779999997;21682;337594677;village;2935
233;Yampil;Ямпіль;UA1423056400;Yampil;Lymanska;Лиманська;Lymanska;Лиманська;Лиманский;UA14133;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1423056400;37,943456500000003;48,934439120000000;947;256616082;village;2149
234;Vendychany;Вендичани;UA0522655500;Vendychany;Vendychanska;Вендичанська;Mohyliv-Podilskyi;Могилів-Подільський;Могилев-Подольский;UA05226;Vinnytska;Вінницька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);0522655500;27,794916900000000;48,609560739999999;21260;337592204;village;3970
235;Hvardiiske;Гвардійське;UA1223255300;Hvardiiske;Hvardiiska;Гвардійська;Novomoskovskyi;Новомосковський;Новомосковский;UA12232;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1223255300;35,320319540000000;48,739534130000003;10485;337536193;village;195
236;Slavhorod;Славгород;UA1224856200;Slavhorod;Slavhorodska;Славгородська;Synelnykivskyi;Синельниківський;Синельниковский;UA12248;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1224856200;35,520032700000002;48,102439779999997;7057;337519368;village;917
237;Zhelanne;Желанне;UA1425555300;Zhelanne;Zhelannivska;Желаннівська;Yasynuvatskyi;Ясинуватський;Ясиноватский;UA14255;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1425555300;37,439396029999997;48,207002719999998;1283;256618556;village;1421
238;Sofiivka;Софіївка;UA1225255100;Sofiivka;Sofiivska;Софіївська;Sofiivskyi;Софіївський;Софиевский;UA12252;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1225255100;33,870381270000003;48,045996830000000;227;256613906;village;863
239;Tomakivka;Томаківка;UA1225455100;Tomakivka;Tomakivska;Томаківська;Tomakivskyi;Томаківський;Томаковский;UA12254;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1225455100;34,747060750000003;47,814310790000000;21416;337593044;village;33
240;Zalisne;Залісне;UA1414446200;Zalisne;Zalisnenska;Залісненська;Snizhnianska;Сніжнянська;Снежнянский;UA14144;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1414446200;38,810942349999998;48,032233030000000;295;256614012;village;2432
241;Velyka Novosilka;Велика Новосілка;UA1421255100;Velyka Novosilka;Velykonovosilkivska;Великоновосілківська;Velykonovosilkivskyi;Великоновосілківський;Великоновоселковский;UA14212;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1421255100;36,841011180000002;47,843713559999998;576;256614797;village;6265
242;Yalta;Ялта;UA1423955500;Yalta;Yaltynska;Ялтинська;Manhushskyi;Мангушський;Мангушский;UA14239;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1423955500;37,265639929999999;46,958414470000001;611;256614860;village;143
243;Bozhedarivka;Божедарівка;UA1222055700;Bozhedarivka;Bozhedarivska;Божедарівська;Krynychanskyi;Криничанський;Криничанский;UA12220;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1222055700;34,114627390000003;48,353482159999999;22556;337600345;village;123
244;Slobozhanske;Слобожанське;UA1221455800;Slobozhanske;Slobozhanska;Слобожанська;Dniprovskyi;Дніпровський;Днипровский;UA12214;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1221455800;35,072920019999998;48,534338249999998;9458;337527195;village;1173
245;Zarichne;Зарічне;UA1423055700;Zarichne;Lymanska;Лиманська;Lymanska;Лиманська;Лиманский;UA14133;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1423055700;37,928287519999998;49,021316720000002;319;256614076;village;150
246;Hubynykha;Губиниха;UA1223255600;Hubynykha;Hubynyska;Губиниська;Novomoskovskyi;Новомосковський;Новомосковский;UA12232;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1223255600;35,254174849999998;48,808964949999996;19964;337584852;village;5768
247;Demuryne;Демурине;UA1222655400;Demuryne;Demurynska;Демуринська;Mezhivskyi;Межівський;Межевский;UA12226;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1222655400;36,484670999999999;48,171136740000001;23638;337657064;village;1310
248;Luhanske;Луганське;UA1420955400;Luhanske;Luhanska;Луганська;Bakhmutskyi;Бахмутський;Бахмутский;UA14209;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1420955400;38,250225229999998;48,434020019999998;482;256614644;village;2432
249;Manhush;Мангуш;UA1423955100;Manhush;Manhushska;Мангушська;Manhushskyi;Мангушський;Мангушский;UA14239;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1423955100;37,309764629999997;47,057589700000001;1074;256617401;village;8331
250;Nyzhnia Krynka;Нижня Кринка;UA1413566500;Nyzhnia Krynka;Nyzhnokrynska;Нижньокринська;Makiivska;Макіївська;Макеевский;UA14135;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1413566500;38,160351810000002;48,105562020000001;255;256613934;village;13956
